group,prime,target,condition,primetype,corrAns
A,table,CLOTH,warmup,unrelated,j
A,key,KEY,warmup,unrelated,j
A,address,HOME,warmup,unrelated,j
A,fake,REAL,warmup,unrelated,j
A,mice,MOUSE,warmup,unrelated,j
A,fell,FALL,warmup,unrelated,j
A,worst,BAD,warmup,unrelated,j
A,ideal,IDEA,warmup,unrelated,j
A,mingle,JUNGLE,warmup,unrelated,j
A,desert,WATER,warmup,unrelated,j
A,card,SARPON,warmup,unrelated,f
A,watch,LEETER,warmup,unrelated,f
A,cended,CENDED,warmup,unrelated,f
A,trash,HENDER,warmup,unrelated,f
A,drawer,VENDON,warmup,unrelated,f
A,chord,FENORS,warmup,unrelated,f
A,vandal,ETASURE,warmup,unrelated,f
A,slecked,SLECKED,warmup,unrelated,f
A,brain,DOREMAN,warmup,unrelated,f
A,sydrate,SYDRATE,warmup,unrelated,f
B,table,CLOTH,warmup,unrelated,j
B,key,KEY,warmup,unrelated,j
B,address,HOME,warmup,unrelated,j
B,fake,REAL,warmup,unrelated,j
B,mice,MOUSE,warmup,unrelated,j
B,fell,FALL,warmup,unrelated,j
B,worst,BAD,warmup,unrelated,j
B,ideal,IDEA,warmup,unrelated,j
B,mingle,JUNGLE,warmup,unrelated,j
B,desert,WATER,warmup,unrelated,j
B,card,SARPON,warmup,unrelated,f
B,watch,LEETER,warmup,unrelated,f
B,cended,CENDED,warmup,unrelated,f
B,trash,HENDER,warmup,unrelated,f
B,drawer,VENDON,warmup,unrelated,f
B,chord,FENORS,warmup,unrelated,f
B,vandal,ETASURE,warmup,unrelated,f
B,slecked,SLECKED,warmup,unrelated,f
B,brain,DOREMAN,warmup,unrelated,f
B,sydrate,SYDRATE,warmup,unrelated,f